Economic Activity,Year, Value 
,1/1/2018," JOD 3,411.00 "
,1/1/2019," JOD 3,583.00 "
,1/1/2020," JOD 3,656.00 "
,1/1/2021," JOD 3,735.00 "
,1/1/2022," JOD 3,844.00 "
,1/1/2023," JOD 3,984.00 "
Wholesale and retail trade; repair of motor vehicles and motorcycles,1/1/2008," JOD 1,331.00 "
,1/1/2009," JOD 1,444.00 "
,1/1/2010," JOD 1,541.00 "
,1/1/2011," JOD 1,648.00 "
,1/1/2012," JOD 1,838.00 "
,1/1/2013," JOD 2,048.00 "
,1/1/2014," JOD 2,185.00 "
,1/1/2015," JOD 2,245.00 "
,1/1/2016," JOD 2,312.00 "
,1/1/2017," JOD 2,403.00 "
,1/1/2018," JOD 2,422.00 "
,1/1/2019," JOD 2,470.00 "
,1/1/2020," JOD 2,422.00 "
,1/1/2021," JOD 2,542.00 "
,1/1/2022," JOD 2,726.00 "
,1/1/2023," JOD 2,874.00 "
financial intermediation services indirectly measured,1/1/2008, JOD (419.00)
,1/1/2009, JOD (474.00)
,1/1/2010, JOD (497.00)
,1/1/2011, JOD (523.00)
,1/1/2012, JOD (602.00)
,1/1/2013, JOD (678.00)
,1/1/2014, JOD (708.00)
,1/1/2015, JOD (735.00)
,1/1/2016, JOD (776.00)
,1/1/2017, JOD (817.00)
,1/1/2018, JOD (837.00)
,1/1/2019, JOD (870.00)
,1/1/2020, JOD (836.00)
,1/1/2021, JOD (940.00)
,1/1/2022," JOD (1,076.00)"
,1/1/2023," JOD (1,160.00)"
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1/1/2008, JOD 271.00 
,1/1/2009, JOD 323.00 
,1/1/2010, JOD 327.00 
,1/1/2011, JOD 336.00 
,1/1/2012, JOD 342.00 
,1/1/2013, JOD 356.00 
,1/1/2014, JOD 408.00 
,1/1/2015, JOD 428.00 
,1/1/2016, JOD 465.00 
,1/1/2017, JOD 481.00 
,1/1/2018, JOD 534.00 
,1/1/2019, JOD 609.00 
,1/1/2020, JOD 442.00 
,1/1/2021, JOD 500.00 
,1/1/2022, JOD 498.00 
,1/1/2023, JOD 515.00 
"Agriculture, forestry and fishing",1/1/2008, JOD 463.00 
,1/1/2009, JOD 564.00 
,1/1/2010, JOD 689.00 
,1/1/2011, JOD 735.00 
,1/1/2012, JOD 742.00 
,1/1/2013, JOD 877.00 
,1/1/2014," JOD 1,038.00 "
,1/1/2015," JOD 1,203.00 "
,1/1/2016," JOD 1,276.00 "
,1/1/2017," JOD 1,312.00 "
,1/1/2018," JOD 1,349.00 "
,1/1/2019," JOD 1,381.00 "
,1/1/2020," JOD 1,442.00 "
,1/1/2021," JOD 1,573.00 "
,1/1/2022," JOD 1,668.00 "
,1/1/2023," JOD 1,745.00 "
Construction,1/1/2008, JOD 498.00 
,1/1/2009, JOD 636.00 
,1/1/2010, JOD 642.00 
,1/1/2011, JOD 638.00 
,1/1/2012, JOD 688.00 
,1/1/2013, JOD 759.00 
,1/1/2014, JOD 815.00 
,1/1/2015, JOD 830.00 
,1/1/2016, JOD 853.00 
,1/1/2017, JOD 862.00 
,1/1/2018, JOD 871.00 
,1/1/2019, JOD 877.00 
,1/1/2020, JOD 827.00 
,1/1/2021, JOD 881.00 
,1/1/2022, JOD 948.00 
,1/1/2023, JOD 975.00 
"Electricity, gas, steam and air conditioning supply",1/1/2008, JOD 113.00 
,1/1/2009, JOD 163.00 
,1/1/2010, JOD 182.00 
,1/1/2011, JOD 192.00 
,1/1/2012, JOD 233.00 
,1/1/2013, JOD 248.00 
,1/1/2014, JOD 280.00 
,1/1/2015, JOD 346.00 
,1/1/2016, JOD 379.00 
,1/1/2017, JOD 370.00 
,1/1/2018, JOD 349.00 
,1/1/2019, JOD 350.00 
,1/1/2020, JOD 340.00 
,1/1/2021, JOD 341.00 
,1/1/2022, JOD 367.00 
,1/1/2023, JOD 390.00 
Gross Domestic Product at Basic Prices,1/1/2008," JOD 14,265.00 "
,1/1/2009," JOD 15,332.00 "
,1/1/2010," JOD 16,641.00 "
,1/1/2011," JOD 18,176.00 "
,1/1/2012," JOD 19,475.00 "
,1/1/2013," JOD 21,250.00 "
,1/1/2014," JOD 22,724.00 "
,1/1/2015," JOD 23,858.00 "
